Ticker,stock,Comment and monitoring notes
AAL,American Airlines Group,Industrials
AAP,Advance Auto Parts,Consumer Discretionary
ALXN,Alexion Pharmaceuticals,Health Care
AMZN,Amazon,
ANTM,Anthem Inc.,Health Care
AOS,A.O. Smith Corp,Industrials
BA,Boeing Company,Industrials
BNO,Brent etf,
CAT,Caterpillar Inc.,Industrials
VIAC,CBS Viacom,Consumer Discretionary
CI,CIGNA Corp.,Health Care
DELL,Dell,I bought it. Target 55. 12/10/2019
DLR,Digital Realty Trust Inc,Real Estate
DLTR,Dollar Tree,Consumer Discretionary
EQR,Equity Residential,Real Estate
EXPE,expedia,Collapsed due to CEO resigned. Expect to regain to 120. Buy now. Target 120. 12/10/2019
GLD,Gold etf,It is not right to buy now. Buy if goes near 1300. 12/10/2019 or GLD near 122.
HD,Home depot,"see if it goes below 190 and starts coming up, then good buy.  12/11/2019"
HRB,Block H&R,Financials
IDXX,IDEXX Laboratories,Health Care
INFO,IHS Markit Ltd.,Industrials
INFY,Infosys,expect it to linger at 10. buy if nears 9. 12/10/2019
INTC,Intel,expect it to go down to around 40.Buy if it nears 30. 12/10/2019
IRM,Iron Mountain Incorporated,Real Estate
JCI,Johnson Controls International,Industrials
JJC,copper etf,
LUV,Southwest airlines,coming down. Watch for 48 buy level. 12/10/2019
MCHP,Microchip,
MLM,Martin Marietta Materials,Materials
NEE,NextEra Energy,Utilities
NFLX,Netflix Inc.,Information Technology
NI,NiSource Inc.,Utilities
O,Realty Income Corporation,Real Estate
ORLY,O'Reilly Automotive,Consumer Discretionary
PFE,Pfizer Inc.,Health Care
PSA,Public Storage,Real Estate
PVH,PVH Corp.,Consumer Discretionary
QQQ,S&P 500 index,It will be at high for some time. But gain will not be too much. 12/10/2019
REG,Regency Centers Corporation,Real Estate
ROST,Ross Stores,Consumer Discretionary
SBUX,starbucks,"It should go up, target 95. 12/10/2019"
SCHW,Charles Schwab,
SLV,silver etf,
STZ,Constellation Brands,Consumer Staples
SYK,Stryker Corp.,Health Care
TAP,Molson Coors Brewing Company,Consumer Staples
TJX,TJX Companies Inc.,Consumer Discretionary
TMUS,T mobile,
TROW,T. Rowe Price Group,Financials
TRV,The Travelers Companies Inc.,Financials
TWTR,Twitter,It will go up but will mostly linger a lot. Target 35. 12/10/2019
TXT,Textron Inc.,Industrials
UA,Under Armour Class C,Consumer Discretionary
UAL,United Continental Holdings,Industrials
UNG,Natural gas,I bought it. Target 21 to 23. 12/10/2019
VZ,Verizon,
WOOD,WOOD,This stock is high right now. Monitor when it comes down. 12/10/2019
WYNN,Wynn Resorts Ltd,Consumer Discretionary
FDX,Fedex,
